UNITID,carnegie_basic,carnegie_classification_2000,carnegie_ug_program,carnegie_grad_program,carnegie_enroll_profile,carnegie_size_setting,carnegie_ug_profile
100654,18,16,10,18,4,13,10
100663,15,15,9,17,5,15,9
100690,21,51,5,13,5,6,5
100706,15,16,9,17,4,12,9
100724,18,21,10,13,3,13,10
100733,-3,-3,-2,-2,-2,-2,-2
100751,16,15,14,15,4,16,14
100760,2,40,2,0,1,2,2
100812,22,32,5,0,2,9,5
100830,18,21,9,6,3,12,9
100858,16,15,15,14,4,15,15
100937,21,31,14,0,2,11,14
101028,2,40,2,0,1,2,2
101073,22,33,11,0,2,8,11
101116,23,40,7,11,3,6,7
101143,2,40,2,0,1,2,2
101161,5,40,2,0,1,3,2
101189,22,32,9,8,4,10,9
101240,3,40,2,0,1,3,2
101277,-3,-3,-2,-2,-2,-2,-2
101286,2,40,2,0,1,3,2
101295,2,40,2,0,1,3,2
101301,2,40,2,0,1,2,2
101365,22,40,5,2,3,6,5
101435,22,31,9,0,2,7,9
101453,24,51,5,3,4,6,5
101462,1,40,2,0,1,2,2
101471,1,40,3,0,1,1,3
101480,18,21,13,4,3,13,13
101499,1,40,2,0,1,2,2
101505,7,40,1,0,1,3,1
101514,3,40,1,0,1,4,1
101541,21,31,9,0,2,7,9
101569,7,40,2,0,1,3,2
101587,18,21,13,1,6,13,13
101602,1,40,3,0,1,2,3
101648,1,40,4,0,1,1,4
101675,22,32,11,0,2,11,11
101693,22,21,13,8,3,10,13
101709,19,21,13,6,3,10,13
101736,2,40,2,0,1,3,2
101879,18,21,13,7,3,12,13
101897,2,40,2,0,1,2,2
101912,22,32,10,3,3,11,10
101949,1,40,3,0,1,2,3
101958,10,40,4,0,1,1,4
101994,1,40,2,0,1,1,2
102030,7,40,2,0,1,3,2
102049,19,21,14,12,5,14,14
102058,24,-3,7,3,3,6,7
102067,3,40,2,0,1,3,2
102076,2,40,3,0,1,2,3
102094,16,16,13,17,5,16,13
102234,20,21,14,8,3,11,14
102261,24,51,9,0,2,7,9
102270,21,32,11,0,2,8,11
102298,21,31,10,0,2,8,10
102313,1,40,2,0,1,2,2
102368,18,21,5,4,4,16,5
102377,22,21,12,17,4,14,12
102395,32,59,5,11,6,6,5
102429,2,40,2,0,1,3,2
102553,18,21,5,13,3,15,5
102580,-3,-3,10,0,2,8,10
102614,16,16,9,15,4,13,9
102632,20,21,5,9,3,9,5
102669,20,21,9,7,5,7,9
102711,-3,-3,1,0,1,1,1
102845,23,40,11,0,3,12,11
103501,-3,-3,4,0,1,1,4
103529,-3,-3,-2,-2,-2,-2,-2
103741,-3,-3,-2,-2,-2,-2,-2
103778,29,55,0,2,6,6,0
103787,22,51,11,0,2,8,11
103811,-3,-3,-2,-2,-2,-2,-2
103893,10,-3,4,0,1,2,4
103909,-3,-3,4,0,1,2,4
103927,-3,-3,4,0,1,1,4
103945,10,-3,10,0,2,6,10
103954,-3,-3,-2,-2,-2,-2,-2
103963,10,40,-2,-2,-2,-2,-2
104090,23,40,6,11,3,9,6
104151,15,15,15,15,4,15,15
104160,3,40,1,0,1,3,1
104179,15,15,13,14,4,15,13
104188,30,40,6,3,3,6,6
104346,5,40,1,0,1,3,1
104364,22,55,11,0,2,6,11
104391,-3,-3,-2,-2,-2,-2,-2
104425,3,40,2,0,1,3,2
104434,-3,-3,-2,-2,-2,-2,-2
104443,-3,-3,-2,-2,-2,-2,-2
104504,-3,-3,-2,-2,-2,-2,-2
104568,-3,-3,-2,-2,-2,-2,-2
104577,3,40,1,0,1,3,1
104586,22,-3,14,3,3,10,14
104665,30,-3,0,3,7,18,0
104708,7,40,1,0,1,5,1
104717,18,21,5,12,5,15,5
104911,-3,-3,-2,-2,-2,-2,-2
105136,-3,-3,-2,-2,-2,-2,-2
105145,7,40,1,0,1,3,1
105154,7,40,1,0,1,5,1
105163,28,40,6,0,2,6,6
105172,28,54,6,0,2,6,6
105206,5,40,1,0,1,3,1
105215,-3,-3,-2,-2,-2,-2,-2
105297,33,60,5,0,2,9,5
105330,16,16,13,15,4,16,13
105349,3,40,1,0,1,2,1
105367,19,-3,5,6,5,6,5
105428,7,40,1,0,1,4,1
105482,-3,-3,-2,-2,-2,-2,-2
105525,7,40,1,0,1,5,1
105534,10,-3,10,0,2,9,10
105543,10,-3,4,0,1,2,4
105589,20,22,9,12,5,6,9
105659,10,40,4,0,1,2,4
105668,7,40,1,0,1,4,1
105677,-3,-3,-2,-2,-2,-2,-2
105701,-3,-3,-2,-2,-2,-2,-2
105747,6,40,1,0,1,4,1
105792,7,40,1,0,1,3,1
105899,22,51,13,0,2,7,13
105987,-3,-3,-2,-2,-2,-2,-2
106041,10,40,4,0,1,3,4
106102,19,21,11,10,5,9,11
106111,-3,-3,-2,-2,-2,-2,-2
106148,3,40,1,0,1,3,1
106245,17,16,5,17,4,12,5
106263,25,52,7,18,6,9,7
106281,-3,-3,-2,-2,-2,-2,-2
106306,23,31,11,0,2,8,11
106315,-3,-3,-2,-2,-2,-2,-2
106324,-3,-3,-2,-2,-2,-2,-2
106342,21,31,14,0,2,8,14
106351,-3,-3,-2,-2,-2,-2,-2
106360,-3,-3,-2,-2,-2,-2,-2
106397,15,15,15,15,4,16,15
106412,22,32,11,6,3,10,11
106449,11,40,2,0,1,3,2
106458,18,21,13,18,4,13,13
106467,18,21,7,4,3,13,7
106485,20,32,10,9,3,9,10
106494,-3,-3,-2,-2,-2,-2,-2
106546,-3,-3,-2,-2,-2,-2,-2
106625,2,40,2,0,1,2,2
106704,18,21,13,18,4,13,13
106713,22,51,13,0,2,6,13
106795,11,40,1,0,1,2,1
106810,13,40,10,0,2,8,10
106829,-3,-3,-2,-2,-2,-2,-2
106883,1,40,2,0,1,2,2
106892,-3,-3,-2,-2,-2,-2,-2
106908,-3,-3,-2,-2,-2,-2,-2
106980,2,40,2,0,1,2,2
106999,11,40,2,0,1,2,2
107044,18,22,14,12,4,14,14
107071,19,21,13,6,3,13,13
107080,21,31,14,2,3,11,14
107099,-3,-3,-2,-2,-2,-2,-2
107123,-3,-3,-2,-2,-2,-2,-2
107141,22,32,15,10,4,11,15
107211,-3,-3,-2,-2,-2,-2,-2
107220,-3,-3,-2,-2,-2,-2,-2
107293,-3,-3,-2,-2,-2,-2,-2
107318,4,40,1,0,1,2,1
107327,2,40,1,0,1,2,1
107363,-3,-3,-2,-2,-2,-2,-2
107442,-3,-3,-2,-2,-2,-2,-2
107460,2,40,2,0,1,2,2
107488,-3,-3,-2,-2,-2,-2,-2
107512,21,32,12,0,2,11,12
107521,1,40,1,0,1,2,1
107549,1,40,2,0,1,2,2
107558,22,32,12,0,2,8,12
107585,11,40,2,0,1,2,2
107600,22,32,11,0,2,8,11
107619,11,40,1,0,1,2,1
107637,2,40,2,0,1,2,2
107655,-3,-3,-2,-2,-2,-2,-2
107664,6,40,2,0,1,4,2
107725,11,40,2,0,1,2,2
107743,1,40,1,0,1,2,1
107789,-3,-3,-2,-2,-2,-2,-2
107831,-3,-3,-2,-2,-2,-2,-2
107840,-3,-3,3,0,1,1,3
107877,22,32,13,0,2,8,13
107974,1,40,2,0,1,2,2
107983,19,21,11,6,3,11,11
107992,11,40,1,0,1,2,1
108056,-3,-3,-2,-2,-2,-2,-2
108065,-3,-3,-2,-2,-2,-2,-2
108092,23,40,7,0,2,12,7
108232,30,56,5,8,5,15,5
108250,28,40,6,0,2,6,6
108269,26,53,0,3,7,18,0
108348,-3,-3,-2,-2,-2,-2,-2
108649,-3,-3,-2,-2,-2,-2,-2
108667,7,40,1,0,1,3,1
108807,3,40,1,0,1,4,1
108852,9,40,4,0,1,1,4
108861,24,51,0,3,7,18,0
108870,30,56,0,3,7,18,0
108977,-3,-3,-2,-2,-2,-2,-2
109040,10,-3,4,0,1,2,4
109086,30,56,0,3,6,6,0
109208,7,40,1,0,1,5,1
109350,4,40,1,0,1,4,1
109651,30,56,11,3,3,9,11
109721,-3,-3,-2,-2,-2,-2,-2
109730,-3,-3,-2,-2,-2,-2,-2
109785,17,21,13,18,5,14,13
109819,7,40,1,0,1,5,1
109907,4,40,1,0,1,2,1
109934,-3,-3,-2,-2,-2,-2,-2
110060,24,51,11,8,4,6,11
110097,17,16,13,18,4,14,13
110185,30,56,7,3,3,6,7
110194,-3,-3,-2,-2,-2,-2,-2
110219,10,-3,10,0,3,9,10
110246,3,40,2,0,1,4,2
110307,26,59,0,18,7,18,0
110316,17,59,11,16,6,9,11
110334,3,40,1,0,1,4,1
110361,18,21,11,8,4,13,11
110370,30,56,13,8,4,9,13
110398,31,57,0,3,7,18,0
110404,15,15,14,17,6,10,14
110413,18,21,15,7,5,13,15
110422,18,21,14,4,3,16,14
110468,17,59,7,18,6,9,7
110486,18,21,11,4,4,12,11
110495,18,21,11,8,4,12,11
110501,-3,-3,-2,-2,-2,-2,-2
110510,18,21,11,4,3,15,11
110529,18,21,13,4,3,15,13
110538,18,21,13,4,3,15,13
110547,18,21,7,4,4,15,7
110556,18,21,11,13,4,15,11
110565,18,21,13,13,4,15,13
110574,18,21,11,4,4,15,11
110583,18,21,13,4,4,15,13
110592,18,21,11,12,4,15,11
110608,18,21,11,4,3,15,11
110617,18,21,11,4,3,15,11
110635,15,15,15,15,5,16,15
110644,15,15,15,14,4,16,15
110653,15,15,15,14,4,16,15
110662,15,15,15,14,5,16,15
110671,15,15,15,15,4,16,15
110680,15,15,15,14,4,16,15
110699,25,16,0,14,7,18,0
110705,15,15,15,15,4,16,15
110714,15,15,15,15,3,17,15
110778,26,59,0,13,6,6,0
110875,-3,-3,-2,-2,-2,-2,-2
110918,24,51,11,0,2,7,11
111009,10,40,4,0,1,1,4
111054,-3,-3,-2,-2,-2,-2,-2
111081,30,56,11,13,5,11,11
111188,22,59,11,2,2,11,11
111391,31,57,0,11,7,18,0
111434,5,40,1,0,1,3,1
111461,4,40,1,0,1,4,1
111513,-3,-3,-2,-2,-2,-2,-2
111638,9,-3,4,0,1,1,4
111708,-3,-3,-2,-2,-2,-2,-2
111717,-3,-3,-2,-2,-2,-2,-2
111726,-3,-3,-2,-2,-2,-2,-2
111744,-3,-3,-2,-2,-2,-2,-2
111762,-3,-3,-2,-2,-2,-2,-2
111799,-3,-3,-2,-2,-2,-2,-2
111887,4,40,1,0,1,5,1
111896,7,40,1,0,1,3,1
111920,5,40,1,0,1,4,1
111939,5,40,1,0,1,5,1
111948,18,21,15,18,4,13,15
111966,26,53,11,3,6,6,11
112075,18,22,13,6,6,13,13
112084,21,31,11,0,3,7,11
112127,24,51,0,3,7,18,0
112172,4,40,1,0,1,4,1
112181,-3,-3,-2,-2,-2,-2,-2
112190,7,40,1,0,1,5,1
112251,16,15,0,15,7,18,0
112260,21,31,14,2,3,11,14
112288,-3,-3,-2,-2,-2,-2,-2
112367,-3,-3,-2,-2,-2,-2,-2
112376,-3,-3,-2,-2,-2,-2,-2
112385,5,40,1,0,1,3,1
112394,22,32,7,2,2,7,7
112446,23,59,10,2,5,6,10
112455,-3,-3,-2,-2,-2,-2,-2
112525,25,52,0,3,7,18,0
112561,2,40,1,0,1,2,1
112570,30,56,11,0,2,8,11
112686,4,40,1,0,1,3,1
112817,-3,-3,-2,-2,-2,-2,-2
112826,5,40,1,0,1,3,1
113096,7,40,1,0,1,4,1
113111,7,40,1,0,1,3,1
113193,3,40,2,0,1,4,2
113218,5,40,1,0,1,3,1
113236,5,40,1,0,1,4,1
113333,5,40,2,0,1,5,2
113449,-3,-3,-2,-2,-2,-2,-2
113537,30,-3,0,3,5,6,0
113573,5,40,1,0,1,4,1
113582,30,56,7,0,2,6,7
113634,5,40,1,0,1,5,1
113698,19,21,13,7,4,10,13
113704,24,51,0,8,7,18,0
113856,7,40,1,0,1,5,1
113980,4,40,1,0,1,5,1
114044,-3,-3,-2,-2,-2,-2,-2
114114,26,53,0,3,7,18,0
114123,10,40,4,0,1,1,4
114266,7,40,1,0,1,3,1
114354,30,40,11,0,2,9,11
114390,10,-3,11,0,2,6,11
114415,10,-3,-2,-2,-2,-2,-2
114433,2,40,2,0,1,2,2
114460,-3,-3,-2,-2,-2,-2,-2
114549,17,59,0,18,7,18,0
114585,26,53,0,3,7,18,0
114628,-3,-3,-2,-2,-2,-2,-2
114637,-3,-3,-2,-2,-2,-2,-2
114716,5,40,1,0,1,4,1
114734,24,51,0,3,7,18,0
114761,-3,-3,-2,-2,-2,-2,-2
114789,7,40,1,0,1,5,1
114813,19,21,13,6,4,10,13
114831,-3,-3,-2,-2,-2,-2,-2
114840,24,51,0,18,7,18,0
114859,5,40,1,0,1,5,1
114938,4,40,1,0,1,3,1
