UNITID,instruction_staff,non_instn_acad_staff_research,non_instn_acad_staff_pub_service,non_instn_acad_staff_library,admin_profstaff_management,admin_profstaff_business,admin_profstaff_comp,admin_profstaff_comunityservice,admin_profstaff_healthcare,non_admin_service_staff_service,non_admin_service_staff_sales,admin_profstaff_ofcadmin,non_admin_service_staff_resource,non_admin_service_staff_prod,inst_salary_academic_rank,inst_salary_salaryoutlaytotal,non_inst_acad_staff_salary_research_outlay,non_inst_acad_staff_salary_pubservice_outlay,non_inst_acad_staff_salary_other_outlay,admin_profstaff_salary_mgmt_outlay,admin_profstaff_salary_business_outlay,admin_profstaff_salary_compeng_outlay,admin_profstaff_salary_community_outlay,admin_profstaff_salary_technical_outlay,nonadmin_servicestaffsalary_service_outlay,nonadmin_servicestaffsalary_sales_outlay,admin_profstaff_salary_ofcadmin_outlay,nonadmin_servicestaffsalary_construction_outlay,nonadmin_servicestaffsalary_production_outlay
100654,256,4,,16,70,40,36,108,1,55,2,168,10,13,7,16002661,153717,0,613905,6065702,2101773,1866653,5274782,66463,1655913,87550,6034332,320400,548387
100663,2274,,,135,370,1008,1425,290,398,603,,1069,301,75,7,94906190,0,0,7213828,34717951,31718209,34776692,11770864,4412394,15898194,0,20520366,13974455,3200797
100690,32,,,18,3,5,5,,,1,,2,,,7,1481125,0,0,757210,468123,387248,282480,0,0,40133,0,86593,0,0
100706,327,,,20,97,78,405,74,3,98,,179,21,1,7,29041664,0,0,896261,13157264,3946664,33160954,3532993,235809,3202570,0,7487839,949569,23801
100724,249,6,,66,64,36,29,82,2,118,5,123,34,5,7,18725799,247250,0,2770291,5955965,1701370,1475926,4229210,92350,3300918,164574,4085842,1248356,145815
100733,,,,,15,22,5,18,,3,,26,,,,,0,0,0,4282170,2182441,352274,3010615,0,173762,0,1427441,0,0
100751,1378,,,187,531,474,443,516,210,684,29,818,220,117,7,126212780,0,0,8525302,59859412,27052781,26534444,30590830,11156538,25357759,802424,27850946,11682539,4485728
100760,51,,,4,16,8,2,1,,13,,26,,,7,2789322,0,0,212370,1510785,360468,91738,52368,0,427042,0,1151153,0,0
100812,81,,,26,27,5,12,7,,10,,48,8,2,7,6425498,0,0,1665118,2688722,293043,750066,309920,0,402857,0,2013010,402858,91767
100830,216,,,20,109,19,39,19,4,35,2,101,,1,7,14965270,0,0,941400,7849236,1208740,2061112,751410,147930,876310,39840,3153480,0,28280
