public_total_salary_wage,privateprofit_total_salary_wage,private_nonprofit_total_salary_wage
53606979,3799874,3485500
1092407185,364287,18030830
111702183,1851197,2955528
52087045,760376,19142892
12525481,14578629,9792520
398770589,2598269,1307532
8359627,360795,4369088
17146542,3730765,14624708
40776887,2523269,10380464
425762295,3865335,16703363
6156851,1653464,70191259
7706920,307519,2240271
12916391,3942323,18633713
24432097,16008142,1902694
17276580,5729584,6423615
17281065,2584468,5879802
8556416,271480,45192836
5147204,212993,2341837
7418139,308821,255659
48747812,506809,7537237
5034683,1213879,812391
23272554,265832868,27378556
25387738,187945,587171
15107483,8828000,5977722
18441443,591029,5099815
7753560,7536026,7107464
4853361,4795972,6748756
26135767,2278431,5676530
12822515,487639,4760193
46129542,118547,1138213
9346281,819662,50406221
7294383,12340000,20236830
3327395,10275030,805033
13577134,419714,21075774
18068555,159014,11799615
7421549,99695,7799015
342080000,503472,6135382
8029902,112784,1931034
102811140,483798,3340444
18195055,1746129,955533
136961313,1507799,3719787
167842457,216077,1071932
23375545,202560,12688598
5079242,1481744,9948759
18282259,411380,40646000
867537000,166755,118618052
27732575,25432,1334217
894490000,402538,66513018
24875312,253877,3887663
23439089,88796,16928554
19936603,105189400,67444410
56758604,272374,35402000
38822519,617975,294986112
30221072,216931,49526420
65960206,27004399,269873
15430865,1164048,37087170
11005948,725693,15852276
233542810,1957271,3206098
13636784,1146966,666059
36775615,9055695,1435403
94007534,38868654,1034896
47313224,2623902,759719
34136233,334264,471956
17910472,2735424,298814
26990446,1094613,126930049
91695691,896435,23648900
749181000,418000,33126150
351144568,1115680,8466923
31282809,5939000,1874126
14449132,94373,33146839
84747562,777628,44291000
53261026,1043549,5282757
19101205,1666089,93302910
8156393,1855402,3534214
75395560,2874544,526225
5872332,54251546,28325840
2240386,1491422,1461583
5770350,2908714,11512116
11165623,96046,981043
5661858,182193,28530494
24521527,294394,31066000
7787017,4479265,4648215
9039938,155636,30498629
8966981,436114,3770396
3695043,9826868,27151750
5780572,2004902,14852118
5157597,1177876,5058939
7060148,1290281,12219454
9447421,1630216,9487058
6566879,8425632,3754709
20726189,382128,67236833
5829621,6355339,5850956
3995778,1508579,11620785
7650221,309808,2854961
25795198,206538,1287306
6877344,950997,25875904
6101600,511408,129195884
32051912,5034546,11584508
16342316,2573297,17531941
44215207,7036285,158451000
81977461,4368186,13238611
50791151,125596,13716929
54529460,4105821,33031766
9970689,646725,37439661
53045560,11877820,100353431
45399948,5516420,17294856
27610072,5524676,49628167
173955511,744236,21711838
58493394,1124563,10776437
60800043,1715810,16079704
53815492,3101209,7899956
112689074,1297578,2884549
135404601,333794,1197665
106992943,5703000,18924643
82929249,2208324,149018979
133471457,338556,139386000
211754047,237012,22573730
103423316,699785,40022569
217470765,850896,60333000
143706715,3386370,1208215
218149798,1408789,56895691
166123194,1028756,1265937
1162383838,36687224,32065572
2006639208,4344486,159375000
1218555265,1578220,10729918
3226906649,214271,11772000
360414188,1597984,3492621
1957208059,5958000,170783000
2546487010,1883235,2752359
416202459,5138000,11130922
298347817,5126000,155619000
20044203,122340000,5261954
24471165,195335,23006943
70976520,9297914,288191
73605910,4954797,1611469
14319355,376805,10263238
47449761,2299245,64228288
69331654,4041607,3301388
50272015,5518000,20304382
208378256,6496022,2536781
1238027,1527814,1250800
20147857,10236465,13601426
21872922,4225328,9691000
11853546,135549,1889539000
24135734,692336,17434341
8214348,1041154,5099953
24320046,582984,5994058
40910120,6832644,704164
19573350,9825151,1368732
40973692,4191536,2366262
21744821,4801424,23305375
53534670,319021,34440214
78533178,731452,22358646
38792757,9227144,6283685
60989997,4395907,8866537
85266591,2106807,1049329
89399183,1969314,1168743
39837985,3760634,26039713
8900365,955271,51470587
63226204,4064626,2119218
73886095,5311131,6885787
5219286,2690908,198156914
87346040,1318703,3970068
22798222,963916,12830012
69794000,18649194,2590274
38397172,34787398,1598813
6762183,6436257,64891937
44083830,1327650,370799
32844026,2415579,13454063
68129996,430078,572559
31174879,2621112,40890000
48112547,7045843,52974000
36519907,47350,27246000
10243679,6446469,71669000
31142132,4003000,1386000
8449201,3628000,2330463
89728627,2814000,73315420
29627322,320023,2242461
32407969,1427136,8257130
55872888,883658,72891431
26825052,18936539,129046796
50435884,121879,60360538
51682720,129437342,31812000
53539676,460078,4560879
2980045,881460,52709897
29523903,721310,83025000
31288970,3438738,1576952558
12304422,1133507,1548589
37257296,13882123,394230840
16188784,781076,6347237
38287943,650309,12544142
17511849,329218,56374171
68889750,4010105,225057000
33998796,3205182,100674364
49671815,980824,1377587
36818018,284126,66441058
37180478,2534889,521128000
137380705,1892097,498962000
47454315,377188,347750000
25870969,27040672,254664
0,1530427,16897587
41400954,232231,5461251
65581010,10738636,2455352
22245787,5280702,2953469
8235733,5009107,74251600
76210733,1661871,49232074
99243736,997777,32158935
14385802,1114449,6891100
14430791,5791022,2077220
67663159,1374269,25333728
21749834,2336575,8434072
51367921,432885,84735910
64521175,1870418,22372310
67034615,594036,5778786
79239304,765270,17318824
215078197,471782,79316753
51960533,4333628,13160586
61317604,251751,26983076
33086476,110000,2473085
211129500,89755,1256454
197111761,1547133,38063165
62292092,1003988,1869392
13990731,152926,138114353
39942967,431234,3196743
186563401,396168,1576294
26007697,174516,1318403148
37796174,370579,286251495
73190264,270087,2304746
123950000,110601,33037408
92534641,5244206,1699044
36366514,3832616,20370302
30929489,210407,49240000
62090531,66874424,81162213
9961175,563812,1561001
1841024,1350254,29473990
37670229,3457178,55246995
41838620,246446,35526199
32517811,1141231,1400210
70194217,215456,2639650
71946003,331561,52104430
2799974,3526673,1490294
26199409,5092145,1536263
263682927,1680485,7608155
8389898,13172917,4331311
37204311,179884,21738053
41209088,3073438,2829340
16006674,148794,9225070
36832029,2808643,37627134
9528998,598227,34708355
35370156,134514,4032984
14356958,8531457,20986187
25558073,391520,3350452
24173069,204855,316391
35646468,849281,5118786
23452128,9091174,12385536
1012307005,2467941,6321781
86776135,366572,2311080000
599602554,1218672,803979
36973424,108295,3111896
6775528,583227,10868903
93982583,1522654,31677640
504360359,865926,124367021
16878338,104714,30647986
1541315,199929,82537357
25230879,396082,10994887
7808638,403582,7692569
34314469,1311323,19798649
52996005,16944334,12075014
3530459,2097495,107193086
44481122,2082939,11933150
102531078,39156,38135230
6177074,546155,7400010
8337069,2210101,6161907
105071037,617770,6119001
10873550,3893549,7798783
39963342,1814108,11679321
21129674,102073,21648331
25687197,330745,38115875
32992054,497910,112765
2399220,468441,1416763
7581128,706838,13254932
43081744,1439389,17026912
360867037,144532,126774000
17995965,1136596,21216929
10325211,794756,3054469
104357111,99223,576348
8253058,184901,59130000
969154802,768872,35221406
58268416,2589278,34315076
19700020,1262534,1603524
20570411,95745,6938794
28264118,179425,3269823
30502542,598311,263457
