UNITID,total_studentcount_1,undrgradstudentcount_2,gradstudentcount_4,inst_act_gradcredit_hrs,inst_act_ugcredit_hrs,inst_activity_type,under_certi_award_level1,grad_certi_award_level6,under_degree_award_level3,grad_degree_award_level7,grad_degree_award_level17,grad_degree_award_level18,grad_degree_award_level19,under_degree_award_level5,under_certi_award_level2,under_certi_award_level4,grad_certi_award_level8,cohort_status13,cohort_status9,cohort_status8,cohort_status30,cohort_status29
100654,6157,4865,1292,19878,119309,2,,,,295,7,,,424,,,6,69,295,1073,,
100663,21554,13440,8114,118385,305226,2,,22,,1618,149,360,10,2205,15,,51,463,813,1534,,
100690,830,415,415,3780,7636,2,,,4,59,12,,,41,,,,1,2,7,,
100706,9206,6994,2212,27466,158702,2,0,39,,484,34,17,,1062,,,19,92,292,600,,
100724,6101,5373,728,9461,139560,2,,,,135,3,58,,616,,,10,79,236,1090,,
100751,41507,35199,6308,89023,918546,2,,,,1650,240,209,,6354,,,38,2387,3740,5443,,
100760,2379,2379,,,41866,2,180,,253,,,,,,55,,,,,,87,404
100812,4124,4124,,,69933,2,,,,,,,,780,,,,,,,,
100830,5996,5072,924,10483,105668,2,5,1,,262,,,,594,,,,49,154,681,,
100858,29237,22953,6284,82027,636238,2,,162,,1186,272,251,0,4420,,,36,1963,3145,4193,,
100937,1382,1382,,,44583,2,,,,,,,,261,,,,228,251,368,,
101028,2361,2361,,,40810,2,47,,242,,,,,,12,,,,,,37,334
101073,538,538,,,11597,2,,,35,,,,,35,,,,1,5,180,,
101116,995,777,218,3300,21367,2,,,45,46,,1,,59,,,2,2,2,19,,
101143,2645,2645,,,43336,2,12,,291,,,,,,1,,,,,,51,340
101161,6859,6859,,,115143,2,55,,511,,,,,,49,,,,,,260,1083
101189,4316,3384,932,10247,77821,2,,,10,178,6,73,,455,,,,40,74,221,,
101240,7089,7089,,,116953,2,371,,554,,,,,,271,,,,,,185,1143
101277,132,132,,,,,2,,,,,,,,68,,,,,,,
101286,6460,6460,,,104806,2,229,,595,,,,,,150,,,,,,173,835
101295,7132,7132,,,128715,2,648,,780,,,,,,103,,,,,,379,995
101301,2671,2671,,,42348,2,20,,221,,,,,,160,,,,,,63,371
101365,690,675,15,183,11253,2,65,,48,2,,,,8,54,,,,,1,,
101435,1311,1311,,,31617,2,,,,,,,,249,,,,71,105,271,,
101453,100,60,40,393,1171,2,,,0,10,,,,11,,,,,2,4,,
101462,1459,1459,,,21791,2,78,,85,,,,,,49,,,,,,25,142
101471,759,759,,,16829,2,691,,0,,,,,,103,,,,,,89,238
101480,9886,8628,1258,15659,186104,2,,13,,288,,,1,1386,,,36,180,442,1246,,
101499,1628,1628,,,28605,2,58,,177,,,,,,31,,,,,,66,242
101505,13591,13591,,,169931,2,234,,920,,,,,,279,,,,,,90,1052
101514,15575,15575,,,210385,2,525,,1192,,,,,,40,,,,,,206,1224
101541,474,474,,,9090,2,,,9,,,,,33,,,,31,31,93,,
101569,4814,4814,,,74789,2,139,,220,,,,,,137,,,,,,75,585
101587,5445,2273,3172,32543,52958,2,,,27,533,,,,282,,,124,40,76,256,,
101602,2396,2396,,,41735,2,112,,220,,,,,,80,,,,,,126,410
101648,475,475,,,14153,2,,,126,,,,,,,,,,,,72,249
101675,2167,2167,,,56396,2,,,,,,,,233,,,,44,57,343,,
101693,1804,1653,151,1986,41808,2,,,5,37,,,,261,,,,60,111,231,,
101709,3318,2756,562,8505,69518,2,,,,160,,,,519,,,17,121,212,425,,
101736,5105,5105,,,75308,2,218,,319,,,,,,117,,,,,,82,668
101879,8050,6807,1243,15525,156780,2,,2,,290,,,,1013,,,25,152,418,961,,
101897,3635,3635,,,57052,2,177,,331,,,,,,67,,,,,,140,538
101912,1930,1874,56,1207,50993,2,,28,5,7,,,,342,,,,89,214,455,,
101949,1880,1880,,,32640,2,80,,162,,,,,,60,,,,,,151,423
101958,34,34,,,946,2,,,10,,,,,,,,,,,,,3
101994,769,769,,,12838,2,61,,37,,,,,,61,,,,,,31,67
102030,5032,5032,,,70544,2,246,,266,,,,,,77,,,,,,129,835
102049,5738,3282,2456,22064,100384,2,,3,,343,22,293,,757,16,,12,417,516,711,,
102058,348,332,16,174,6303,2,,,4,0,,,,25,,,,,275,280,,
102067,7386,7386,,,108301,2,68,,478,,,,,,113,,,,,,122,875
102076,3534,3534,,,63625,2,134,,452,,,,,,6,,,,,,196,689
102094,18882,13267,5615,98966,327933,2,76,0,,1071,33,255,,1996,10,,92,262,633,1654,,
102234,1589,1436,153,1493,41872,2,2,16,,29,,,,209,1,,2,180,207,392,,
102261,182,182,,,3657,2,,,3,,,,,26,0,,,2,4,10,,
102270,968,968,,,21907,2,,,,,,,,121,,,,24,52,291,,
102298,1092,1092,,,26818,2,,,0,,,,,127,,,,66,91,211,,
102313,2114,2114,,,37620,2,178,,175,,,,,,50,,,,,,67,201
102368,22508,17375,5133,58079,332335,2,,,322,1201,,14,,2227,,,11,295,653,1674,,
102377,3172,2601,571,4706,73797,2,,,,115,12,64,,454,,,,228,321,701,,
102395,746,270,476,3921,3039,2,,,,68,,,21,19,,,,,,,,
102429,5453,5453,,,85500,2,226,,424,,,,,,106,,,,,,166,749
102553,26013,24754,1259,20957,322251,2,111,88,858,251,1,,,1177,67,,,80,302,1102,,
102580,42,42,,,782,2,,,2,,,,,2,6,,,1,2,10,,
102614,14456,13045,1411,18554,154573,2,134,29,334,227,47,,,572,221,,,63,163,413,,
102632,5357,4830,527,7726,41013,2,166,51,104,134,,,,166,56,,,14,24,121,,
102669,641,348,293,3201,7480,2,,24,9,58,,5,0,40,,,,13,16,33,,
102711,1973,1973,,,,,164,,,,,,,,108,,,,,,,
102845,3996,3976,20,1120,214704,2,,,239,8,,,,76,1432,31,,9,9,74,,
103501,648,648,,,19605,2,79,,43,,,,,,175,,,,,,340,476
103741,174,174,,,,,1,,,,,,,,43,,,,,,,
103778,455,,455,,,,,17,,309,,,,,,,,,,,,
103811,1222,1222,,,,,915,,,,,,,,,,,,,,,
103893,1202,1202,,,18634,2,,,21,,,,,,512,,,,,,283,423
103909,1060,1060,,,18239,2,,,73,,,,,,404,,,,,,236,322
103927,580,580,,,9252,2,,,,,,,,,295,,,,,,,
103945,190,190,,,4840,2,,,43,,,,,3,,,,3,3,15,,
103954,85,85,,,,,7,,,,,,,,14,,,,,,,
103963,1294,1294,,,,,52,,,,,,,,399,,,,,,,
104090,1981,1860,121,1980,23686,2,256,,103,25,,,,216,,,,33,33,115,,
104151,57350,45594,11756,184202,1266775,2,815,72,,3128,516,198,,9050,0,,,3071,4183,6210,,
104160,11766,11766,,,,,691,,852,,,,,,684,,,,,,147,844
104179,46761,36246,10515,142033,992388,2,,145,,1923,524,383,,6915,51,,17,2847,4073,6797,,
104188,168,160,8,192,4200,2,,,,4,,,,7,,,,12,15,17,,
104346,10231,10231,,,118461,2,19,,589,,,,,,532,,,,,,109,544
104364,644,644,,,16017,2,,,112,,,,,14,55,,,1,1,3,,
104391,106,106,,,,,10,,,,,,,,20,,,,,,,
104425,11491,11491,,,211405,2,294,,1356,,,,,,306,,,,,,112,493
104434,61,61,,,,,,,,,,,,,22,,,,,,,
104443,104,104,,,,,3,,,,,,,,29,,,,,,,
104504,213,213,,,,,94,,,,,,,,15,,,,,,,
104568,558,558,,,,,56,,,,,,,,148,,,,,,,
104577,8139,8139,,,108588,2,676,,497,,,,,,184,,,,,,146,491
104586,2425,2356,69,960,66342,2,,,,23,,,,362,,,,117,220,352,,
104665,21,,21,,,,,,,12,,,,0,,,,,,,,
104708,27947,27947,,,,,622,,1944,,,,,,1579,,,,,,340,2057
104717,111211,65668,45543,582362,1172563,2,,,,7977,124,,,9810,,,101,291,349,816,,
104911,176,176,,,,,18,,,,,,,,45,,,,,,,
105145,8495,8495,,,93840,2,587,,649,,,,,,352,24,,,,,43,334
105154,30770,30770,,,,,733,,2226,,,,,,1552,,,,,,294,1942
105206,7998,7998,,,78963,2,73,,451,,,,,,373,,,,,,36,230
